Trek Names 
Kuari Pass Trek
Dayara Bugyal Trek
Brahmatal Lake Trek
Kedarkantha Winter Trek
Rupin Pass Trek
Har Ki Dun Trek
Nag Tibba Trek
Pindari Glacier Trek
Valley of Flowers Trek
Kareri Lake Trek
Indrahar Pass Trek
Kheerganga Trek
Bhrigu Lake Trek
Pin Parvati Pass Trek
Beas Kund Trek
Triund Trek
Hampta Pass Trek
Chadar Trek
Chopta-Chandrashila Trek
Gaumukh Tapovan Trek
Dodital Lake Trek
Deoria Tal Trek
Binsar Trek
Chandrakhani Pass Trek
Prashar Lake Trek
Great Himalayan National Park Trek
Kashmir Great Lakes Trek
Tarsar Marsar Trek
Goechala Trek
Sandakphu Phalut Trek
Pangarchulla Peak trek
Sar Pass Trek
Ali Bedni Bugyal
Phulara Ridge Trek
Surya Top
Bun Buni Pass Trek
Roopkund Trek
Mukta Top Trek
Deoban Trek
Auden’s Col Trek
